
10224128 bytes (10 MB, 9.8 MiB) copied, 1 s, 10.2 MB/s
20966400 bytes (21 MB, 20 MiB) copied, 2 s, 10.5 MB/s 
31703552 bytes (32 MB, 30 MiB) copied, 3 s, 10.6 MB/s
42473472 bytes (42 MB, 41 MiB) copied, 4 s, 10.6 MB/s
53144064 bytes (53 MB, 51 MiB) copied, 5 s, 10.6 MB/s
63652352 bytes (64 MB, 61 MiB) copied, 6 s, 10.6 MB/s
73289216 bytes (73 MB, 70 MiB) copied, 7 s, 10.5 MB/s
83694080 bytes (84 MB, 80 MiB) copied, 8 s, 10.5 MB/s
94198784 bytes (94 MB, 90 MiB) copied, 9 s, 10.5 MB/s
104212480 bytes (104 MB, 99 MiB) copied, 10 s, 10.4 MB/s
114532864 bytes (115 MB, 109 MiB) copied, 11 s, 10.4 MB/s
124846592 bytes (125 MB, 119 MiB) copied, 12 s, 10.4 MB/s
135586304 bytes (136 MB, 129 MiB) copied, 13 s, 10.4 MB/s
146374144 bytes (146 MB, 140 MiB) copied, 14 s, 10.5 MB/s
156766720 bytes (157 MB, 150 MiB) copied, 15 s, 10.5 MB/s
167199232 bytes (167 MB, 159 MiB) copied, 16 s, 10.4 MB/s
177637888 bytes (178 MB, 169 MiB) copied, 17 s, 10.4 MB/s
188244992 bytes (188 MB, 180 MiB) copied, 18 s, 10.5 MB/s
198465536 bytes (198 MB, 189 MiB) copied, 19 s, 10.4 MB/s
207049728 bytes (207 MB, 197 MiB) copied, 20 s, 10.4 MB/s
216760832 bytes (217 MB, 207 MiB) copied, 21 s, 10.3 MB/s
227454464 bytes (227 MB, 217 MiB) copied, 22 s, 10.3 MB/s
237910016 bytes (238 MB, 227 MiB) copied, 23 s, 10.3 MB/s
247712256 bytes (248 MB, 236 MiB) copied, 24 s, 10.3 MB/s
257622528 bytes (258 MB, 246 MiB) copied, 25 s, 10.3 MB/s
267620864 bytes (268 MB, 255 MiB) copied, 26 s, 10.3 MB/s
277578240 bytes (278 MB, 265 MiB) copied, 27 s, 10.3 MB/s
288222208 bytes (288 MB, 275 MiB) copied, 28 s, 10.3 MB/s
298824192 bytes (299 MB, 285 MiB) copied, 29 s, 10.3 MB/s
308772352 bytes (309 MB, 294 MiB) copied, 30 s, 10.3 MB/s
319613440 bytes (320 MB, 305 MiB) copied, 31 s, 10.3 MB/s
329253376 bytes (329 MB, 314 MiB) copied, 32 s, 10.3 MB/s
340132352 bytes (340 MB, 324 MiB) copied, 33 s, 10.3 MB/s
351127040 bytes (351 MB, 335 MiB) copied, 34 s, 10.3 MB/s
361793536 bytes (362 MB, 345 MiB) copied, 35 s, 10.3 MB/s
372259328 bytes (372 MB, 355 MiB) copied, 36 s, 10.3 MB/s
382746112 bytes (383 MB, 365 MiB) copied, 37 s, 10.3 MB/s
392975872 bytes (393 MB, 375 MiB) copied, 38 s, 10.3 MB/s
403598336 bytes (404 MB, 385 MiB) copied, 39 s, 10.3 MB/s
413483520 bytes (413 MB, 394 MiB) copied, 40 s, 10.3 MB/s
423902720 bytes (424 MB, 404 MiB) copied, 41 s, 10.3 MB/s
434532864 bytes (435 MB, 414 MiB) copied, 42 s, 10.3 MB/s
445317632 bytes (445 MB, 425 MiB) copied, 43 s, 10.4 MB/s
455885312 bytes (456 MB, 435 MiB) copied, 44 s, 10.4 MB/s
466452992 bytes (466 MB, 445 MiB) copied, 45 s, 10.4 MB/s
477219840 bytes (477 MB, 455 MiB) copied, 46 s, 10.4 MB/s
487834112 bytes (488 MB, 465 MiB) copied, 47 s, 10.4 MB/s
497972736 bytes (498 MB, 475 MiB) copied, 48 s, 10.4 MB/s
